KO	Pathways	Modules
K01369	ko04612,ko04142	NA
K01368	ko04210,ko04145,ko05152,ko04612,ko04142	NA
K01365	ko05418,ko05323,ko04145,ko04140,ko04142,ko04210,ko05205,ko04612	NA
K01364	ko02024	NA
K01367	ko04210,ko05010,ko04141	NA
K01366	ko04210,ko04142	NA
K01363	ko04140,ko04142,ko04621,ko04924,ko04210,ko04612	NA
K17818	ko00040	NA
K17819	ko00906	NA
K05848	ko00600	NA
K05849	ko04974,ko04740,ko04022,ko04371,ko04020	NA
K01327	ko05322,ko05202	NA
K05840	ko04080,ko04024,ko04728,ko04020	NA
K04336	ko02026	NA
K05842	ko05142,ko05133,ko05164,ko05161,ko05160,ko04064,ko04621,ko04620,ko05168	NA
K08563	ko04976	NA
K05845	ko02010	M00209
K05846	ko02010	M00209
K05847	ko02010	M00209
K00508	ko00591	NA
K00509	ko04923,ko04726,ko00590,ko04611	NA
K00502	ko04726,ko00380	M00037
K00503	ko00350	M00042
K00500	ko00360,ko00400	NA
K00501	ko05012,ko05031,ko05030,ko04917,ko00950,ko04728,ko05034,ko00350	M00042
K00506	ko00350,ko04916	NA
K00507	ko04212,ko04152,ko03320	NA
K00505	ko04916,ko00950,ko00350,ko00965	M00042
K01109	ko04070,ko00562	M00131
K01108	ko04070,ko00562	NA
K01101	ko00627	NA
K01100	ko00710	M00167,M00165
K01103	ko04152,ko04066,ko00051	NA
K04462	ko05200,ko05220,ko04010	NA
K04465	ko04151,ko04010,ko04925	NA
K04464	ko05418,ko04657,ko04912,ko04921,ko04139,ko04138,ko04010,ko04011,ko04540,ko05206,ko04722	M00690
K01107	ko04070,ko00562	M00131
K01106	ko04070,ko00562	M00131
K05592	ko03018	NA
K05597	ko00250,ko00220,ko02020,ko00471	NA
K05599	ko00627	M00637
K14549	ko03008	NA
K14548	ko03008	NA
K14543	ko03013,ko03008,ko03015	NA
K19862	ko04360,ko04012,ko04660,ko05130	NA
K14541	ko00220,ko00791	NA
K19860	ko04011	NA
K14547	ko03008	NA
K14546	ko03008	NA
K14545	ko03008	NA
K19312	ko00630,ko00280,ko00640	M00741
K06573	ko04966	NA
K06572	ko04360	NA
K01403	ko04668,ko04657,ko04670,ko04915,ko05161,ko05219,ko05205,ko05206,ko05200,ko05202,ko05418	NA
K04333	ko02026	NA
K06353	ko02024	NA
K10568	ko03410	NA
K19855	ko00523	M00795
K19805	ko04213	NA
K09175	ko04111	NA
K19901	ko04210,ko04668	NA
K02456	ko03070,ko05111	M00331
K02457	ko03070,ko05111	M00331
K02454	ko03070,ko05111	M00331
K02107	ko00190	M00159
K02452	ko03070,ko05111	M00331
K02453	ko03070,ko05111	M00331
K02450	NA	M00331
K08569	ko04210,ko04142	NA
K20694	ko04624	NA
K20695	ko04624	NA
K14171	ko04122	NA
K02108	ko00195,ko00190	M00157
K02109	ko00195,ko00190	M00157
K02458	ko03070,ko05111	M00331
K10560	ko02010	M00220
K05417	ko05323,ko04060,ko04630,ko04640	NA
K10441	ko02010	M00212
K05415	ko04650,ko04630,ko05142,ko05152,ko04151,ko05168,ko05164,ko04060,ko05161,ko05160,ko05162,ko04621,ko04620,ko04623,ko04622,ko04380	NA
K03851	ko00430	NA
K03850	ko00510	M00055
K03853	ko04210,ko05010,ko04141,ko04510	NA
K03852	ko00430	NA
K03857	ko00563	M00065
K03856	ko00400	M00022
K03859	ko00563	NA
K03858	ko00563	NA
K18394	ko00403	NA
K02196	ko02010	NA
K13018	ko00520	NA
K13019	ko00520	NA
K20248	ko02024,ko00270	NA
K02195	ko02010	M00259
K04648	ko04962,ko05016	NA
K13010	ko00520	NA
K02194	ko02010	M00259
K13014	ko00520	M00721,M00761
K13015	ko00520	NA
K13016	ko00520	NA
K13017	ko00520	NA
K02373	ko05010,ko04668,ko04657,ko05142,ko05152,ko05168,ko04215,ko04621,ko05161,ko04210,ko04620,ko04622,ko05200,ko04624	NA
K19806	ko04011	NA
K08565	ko04142	NA
K18770	ko00550	NA
K13277	ko02024	NA
K13270	ko00944	NA
K13271	ko00944	NA
K13272	ko00944	NA
K13273	ko04146,ko00900	M00095
K20247	ko00340	NA
K13279	ko04146	NA
K18775	ko00500	NA
K20245	ko04341	NA
K19800	ko04213,ko04138	NA
K03275	ko00540	NA
K03274	ko00540	M00064
K03277	ko00540	NA
K03276	ko00540	NA
K03271	ko00540	M00064
K03270	ko00540	M00063
K03273	ko00540	M00064
K03272	ko00540	M00064
K19734	ko02024	NA
K03279	ko00540	M00080
K03278	ko00540	M00080
K14210	ko04974	NA
K10964	ko05111	NA
K15543	ko03015	NA
K15096	ko00902	NA
K12276	ko05111	NA
K12275	ko04141,ko03060	NA
K12272	ko03060	NA
K16196	ko04140,ko04141,ko05164,ko05160,ko05162,ko05169,ko05168,ko04138	NA
K04469	ko05224,ko05169,ko05134,ko05166,ko04010,ko04064,ko04380,ko05200,ko05203	NA
K16194	ko04141,ko05164,ko05160,ko05162,ko05169,ko05168	NA
K16195	ko04141,ko05164,ko05160,ko05162,ko05169,ko05168,ko05203	NA
K16190	ko00040,ko00520,ko00053	M00014
K04468	ko04068,ko04310,ko04010,ko04520	NA
K16198	ko04151,ko04110,ko04114,ko05169,ko04390,ko05203	NA
K16199	ko02010	M00566
K13900	ko04970	NA
K13901	ko04970	NA
K13908	ko04970,ko04657	NA
K13909	ko04970	NA
K06736	ko04514,ko05412	NA
K06735	ko04530,ko04670,ko04514,ko05120	NA
K06229	ko05217,ko05200,ko04340,ko04341	M00678
K04461	ko04013,ko04010	NA
K04460	ko04010	NA
K09903	ko00240	NA
K09905	ko00512	NA
K04463	ko04540,ko04921,ko04722,ko04010,ko05418	M00690
K06227	ko05217,ko05200,ko04341	M00678
K06226	ko04360,ko05217,ko05205,ko05200,ko04340,ko04341	M00678
K16221	ko04712	NA
K16222	ko04712	NA
K09289	ko05216,ko05200,ko04216	NA
K16224	ko04016,ko04626	NA
K16225	ko04626	NA
K16226	ko04626	NA
K00771	ko00534,ko00532	M00057
K00770	ko00520	NA
K12804	ko04621	NA
K00772	ko00270	M00034
K04467	ko05120,ko05142,ko05145,ko04062,ko04064,ko04380,ko04150,ko04068,ko05418,ko04657,ko04658,ko04659,ko05215,ko05212,ko05131,ko04210,ko04014,ko04010,ko05222,ko04668,ko05220,ko05221,ko05169,ko04660,ko04151,ko04662,ko04920,ko05166,ko05161,ko05160,ko05162,ko04621,ko04620,ko04623,ko04622,ko05200,ko05168	M00686
K00779	ko00510,ko00514	M00075
K00778	ko00510,ko00514	M00075
K04466	ko05120,ko04668,ko04672,ko04660,ko05166,ko04010,ko04064,ko04210,ko04380,ko05169	NA
K19081	ko02020	M00737,M00734
K19080	ko02010,ko05150,ko02020	M00732,M00730
K19083	ko02010,ko02020	M00737,M00731
K19082	ko02020	M00737,M00734
K18481	NA	M00670
K18680	ko04111	NA
K18681	ko03018	NA
K18682	ko03018	NA
K20844	ko00520	NA
K18687	ko00984	NA
K18689	ko00900	NA
K07177	ko02024	NA
K07173	ko02024,ko00270,ko02026,ko05111	M00609
K10700	ko00642	NA
K07178	ko03008	NA
K07179	ko03008	NA
K00195	ko00680	M00422
K00194	ko00720,ko00680	M00377,M00357,M00422
K00197	ko00720,ko00680	M00377,M00357,M00422
K00196	ko00720,ko00633,ko00680	NA
K00193	ko00680	M00357,M00422
K00192	ko00680	M00422
K00198	ko00720,ko00633,ko00680	M00377
K10109	ko02010	M00194
K10108	ko02010,ko02030	M00194
K10107	ko02010	M00249
K10106	ko00130	NA
K10105	ko00785	NA
K10100	ko04141	M00382
K15557	ko02010	M00437
K15556	ko02010	M00437
K15555	ko02010,ko00920	M00436
K15554	ko02010,ko00920	M00436
K15553	ko02010,ko00920	M00436
K15552	ko02010,ko00920	M00435
K15551	ko02010,ko00920	M00435
K01826	ko00350	M00533
