sample	run
SRS011086	SRR055750
SRS011086	SRR056888
SRS011086	SRR055670
SRS011086	SRR056971
SRS011086	SRR061957
SRS011086	SRR061958
SRS011239	SRR056901
SRS011239	SRR055763
SRS011239	SRR056983
SRS011239	SRR055682
SRS011239	SRR059855
SRS011239	SRR059854
SRS013215	SRR059366
SRS013215	SRR059367
SRS013476	SRR059504
SRS013476	SRR059505
SRS014124	SRR061448
SRS014124	SRR061449
SRS014271	SRR045535
SRS014271	SRR045570
SRS014271	SRR045624
SRS014271	SRR047364
SRS014271	SRR062419
SRS014271	SRR062433
SRS014459	SRR061138
SRS014459	SRR062321
SRS015038	SRR063460
SRS015038	SRR063461
SRS015057	SRR062282
SRS015057	SRR062283
SRS015537	SRR061441
SRS015537	SRR061451
SRS015893	SRR061322
SRS015893	SRR061339
SRS015893	SRR353620
SRS016037	SRR061515
SRS016037	SRR061516
SRS016501	SRR061692
SRS016501	SRR061693
SRS016740	SRR059923
SRS016740	SRR059922
SRS052697	SRR046441
SRS052697	SRR049639
SRS052697	SRR061280
SRS052697	SRR061284
SRS053214	SRR059991
SRS053214	SRR059990
SRS056259	SRR047235
SRS056259	SRR050140
SRS056259	SRR061236
SRS056259	SRR062530
SRS058770	SRR040853
SRS058770	SRR060357
SRS058770	SRR060356
SRS062427	SRR046888
SRS062427	SRR049637
SRS062427	SRR062395
SRS062427	SRR062423
SRS063985	SRR046659
SRS063985	SRR046830
SRS063985	SRR062466
SRS063985	SRR062467
